"scenario","n","zbrt","ocom"
"RAMLDB stocks",168,0.404539866509581,0.462497658950906
"Simulated stocks",5759,0.136682892495825,0.233204252296364
"Constant",1440,-0.0910421365622444,-0.0379641547538041
"Biomass-coupled",1440,0.587836540831651,0.638208319609208
"Increasing",1440,-0.0669176471151811,0.0080378607435671
"Roller coaster",1439,0.35688441590326,0.414341669397082
