"method","kappa","accuracy"
"cMSY",0.085275290321326,0.512068067372808
"SSP-2013",0.08232921201549,0.274179545059906
"SSP-2002",0.0801301554315153,0.441916999479076
"Zhou-BRT",0.0233088002813594,0.486890085084216
"Zhou-OCOM",0.0109103888352349,0.469525959367946
