"method","kappa","accuracy"
"rORCS",0.542970199084951,0.738095238095238
"cMSY",0.136912406884151,0.404761904761905
"SSP-2002",0.10112792827533,0.339285714285714
"Zhou-OCOM",0.0990138976990946,0.446428571428571
"Zhou-BRT",0.0887329756500207,0.452380952380952
"SSP-2013",0.0448467206404075,0.255952380952381
