"method","kappa","accuracy","","method","kappa","accuracy","","method","kappa","accuracy","","method","kappa","accuracy"
"Constant F (n=1440)",,,,"Biomass-coupled F (n=1440)",,,,"Increasing F (n=1440)",,,,"Roller coaster F (n=1439)",,
"SSP-2013",0.0884761981996595,0.609722222222222,"","cMSY",0.159252669039146,0.402083333333333,"","SSP-2002",0.453728632648835,0.735416666666667,"","cMSY",0.168633587097162,0.733148019457957
"Zhou-OCOM",-0.0166801672976145,0.288194444444444,"","SSP-2002",0.113331980519481,0.325694444444444,"","cMSY",0.276686072171665,0.668055555555556,"","Zhou-OCOM",0.0758564143630626,0.603196664350243
"Zhou-BRT",-0.0223335483193593,0.211111111111111,"","SSP-2013",-0.00878941645523739,0.140972222222222,"","Zhou-BRT",0.16068237205524,0.601388888888889,"","SSP-2002",0.0661995293668177,0.518415566365532
"cMSY",-0.0289013693443554,0.245138888888889,"","Zhou-BRT",-0.0256720298058539,0.476388888888889,"","Zhou-OCOM",0.147912463138289,0.576388888888889,"","Zhou-BRT",0.0457082811649518,0.658790826963169
"SSP-2002",-0.0489479115258648,0.188194444444444,"","Zhou-OCOM",-0.0307637310382506,0.410416666666667,"","SSP-2013",0.131691599539701,0.272222222222222,"","SSP-2013",0.0289710982541914,0.0736622654621265
