"method","kappa","accuracy","","method","kappa","accuracy","","method","kappa","accuracy"
"Demersal fish (n=1920)",,,,"Small pelagic fish (n=1919)",,,,"Large pelagic fish (n=1920)",,
"SSP-2013",0.0952695951575003,0.290625,"","cMSY",0.127229073678421,0.551849921834289,"","SSP-2002",0.0897341211225997,0.486458333333333
"cMSY",0.0542326010139808,0.465625,"","SSP-2002",0.0992240499922641,0.440333507034914,"","cMSY",0.0769461302165281,0.51875
"SSP-2002",0.045100520271272,0.398958333333333,"","SSP-2013",0.0794022489234941,0.262636789994789,"","SSP-2013",0.0625417613256716,0.269270833333333
"Zhou-BRT",0.0419668488953363,0.4890625,"","Zhou-BRT",0.0690974115709503,0.538301198540907,"","Zhou-OCOM",0.00370616516683741,0.458333333333333
"Zhou-OCOM",0.041373839487521,0.478125,"","Zhou-OCOM",0.00522628648626521,0.472120896300156,"","Zhou-BRT",-0.0309681316663803,0.433333333333333
