"method","kappa","accuracy","","method","kappa","accuracy","","method","kappa","accuracy"
"100% of carrying capacity (n=1919)",,,,"70% of carrying capacity (n=1920)",,,,"40% of carrying capacity (n=1920)",,
"SSP-2013",0.12957234339996,0.307972902553413,"","SSP-2013",0.0718277694258598,0.297916666666667,"","SSP-2002",0.172529148423279,0.561979166666667
"cMSY",0.0742560097063012,0.498176133402814,"","cMSY",0.0644703209315535,0.428125,"","cMSY",0.121523552610359,0.609895833333333
"SSP-2002",0.0284939313284813,0.402813965607087,"","SSP-2002",0.0495617036109427,0.3609375,"","Zhou-BRT",0.100418975537235,0.566666666666667
"Zhou-OCOM",-0.000967093620988324,0.492965085982282,"","Zhou-BRT",-0.0104384597028841,0.407291666666667,"","Zhou-OCOM",0.0691489361702128,0.5078125
"Zhou-BRT",-0.0018290575821883,0.486711829077645,"","Zhou-OCOM",-0.0176697421515465,0.4078125,"","SSP-2013",0.0594488958374047,0.216666666666667
