"Stock","yr","ct","bt"
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1985,21663,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1986,40895,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1987,85605,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1988,145340,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1989,62215,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1990,29852,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1991,21966,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1992,30716,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1993,56248,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1994,28562,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1995,45584,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1996,65712,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1997,63205,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1998,139395,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",1999,160487,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2000,168031,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2001,150388,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2002,144382,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2003,123139,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2004,149754,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2005,139656,NA
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2006,151773,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1958,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1959,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1960,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1961,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1962,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1963,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1964,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1965,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1966,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1967,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1968,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1969,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1970,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1971,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1972,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1973,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1974,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1975,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1976,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1977,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1978,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1979,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1980,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1981,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1982,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1983,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1984,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1985,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1986,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1987,0,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1988,85.651,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1989,170.833,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1990,281.808,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1991,265.612,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1992,120.698,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1993,107.472,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1994,157.803,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1995,173.922,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1996,327.177,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1997,372.617,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1998,437.788,NA
