"Region","Subregion","Stock","Name","EnglishName","ScientificName","SpecCode","Group","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSYBtrigger","B40","M","Fofl","SSB","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"South America","Southern Argentina","INIDEP-PATGRENADIERSARG-1983-2006-Parma","Patagonian grenadier","Patagonian grenadier","Macruronus magellanicus",NA,"Cods, hakes, haddocks","RAMLDB",1985,2006,1985,2006,NA,NA,NA,NA,642031,0.3294,NA,NA,0.3,NA,372542,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-BIGHTREDSE-1958-2007-FULTON","Bight redfish","Bight redfish","Centroberyx gerrardi",NA,"Miscellaneous demersal fishes","RAMLDB",1958,2006,1988,2006,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,16240.128,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Deepwater flathead","Deepwater flathead","Platycephalus conatus",NA,"Miscellaneous coastal fishes","RAMLDB",1978,2006,1988,2006,NA,NA,NA,NA,NA,NA,NA,NA,3.2494,NA,3286.512,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-MORWONGSE-1913-2007-FULTON","Hawaiian morwong","Hawaiian morwong","Nemadactylus macropterus",NA,"Miscellaneous demersal fishes","RAMLDB",1913,2007,1915,2007,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,11482.608,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-NZLINGESE-1968-2007-FULTON","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1968,2007,1977,2007,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,3324.48,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Western half of Southeast Australia","CSIRO-NZLINGWSE-1968-2007-FULTON","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1968,2007,1979,2007,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,3377.5632,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-OROUGHYSE-1978-2007-FULTON","Orange roughy","Orange roughy","Hoplostethus atlanticus",NA,"Miscellaneous demersal fishes","RAMLDB",1978,2006,1985,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8149.26,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Macquarie Island","CSIRO-PTOOTHFISHMI-1975-2010-FAY","Patagonian toothfish","Patagonian toothfish","Dissostichus eleginoides",NA,"Miscellaneous demersal fishes","RAMLDB",1975,2009,1994,2009,NA,NA,NA,NA,NA,0.0580997,NA,NA,0.13,NA,869.707,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-SILVERFISHSE-1978-2006-FULTON","Silverfish","Silverfish","Seriolella punctata",NA,"Miscellaneous demersal fishes","RAMLDB",1978,2006,1980,2006,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,9927.456,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-SWHITSE-1945-2007-FULTON","School whiting","School whiting","Sillago flindersi",NA,"Miscellaneous coastal fishes","RAMLDB",1945,2007,1947,2007,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,3734.3088,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Southeast Australia","CSIRO-TIGERFLATSE-1913-2006-FULTON","Tiger flathead","Tiger flathead","Neoplatycephalus richardsoni",NA,"Marine fishes not identified","RAMLDB",1913,2005,1915,2005,NA,NA,NA,NA,NA,NA,NA,NA,3.31,NA,5472.868,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Eastern half of Southeast Australia","CSIRO-WAREHOUESE-1984-2006-FULTON","whario","whario","Seriolella brama",NA,"Miscellaneous demersal fishes","RAMLDB",1984,2006,1985,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1568.16,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Australia","Western half of Southeast Australia","CSIRO-WAREHOUWSE-1984-2006-FULTON","whario","whario","Seriolella brama",NA,"Miscellaneous demersal fishes","RAMLDB",1984,2006,1985,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1568.16,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada West Coast","West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","DFO-CROCKWCVANISOGQCI-1945-2009-STANTON","Canary rockfish","Canary rockfish","Sebastes pinniger",NA,"Miscellaneous demersal fishes","RAMLDB",1945,2009,1945,2009,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,1988,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada East Coast","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","DFO-MAR-HAD4X5Y-1970-2011-CHING","Haddock","Haddock","Melanogrammus aeglefinus",NA,"Cods, hakes, haddocks","RAMLDB",1970,2010,1970,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52000,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada West Coast","Hecate Strait","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod","Pacific cod","Gadus macrocephalus",NA,"Cods, hakes, haddocks","RAMLDB",1956,2004,1956,2004,NA,NA,NA,NA,8861,0.354,NA,NA,0.567,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada West Coast","West Coast of Vancouver Island","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod","Pacific cod","Gadus macrocephalus",NA,"Cods, hakes, haddocks","RAMLDB",1956,2001,1956,2001,NA,NA,NA,NA,6731,0.226,NA,NA,0.579,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada West Coast","Pacific Coast of Canada","DFO-PAC-SABLEFPCAN-1913-2010-HIVELY","Sablefish","Sablefish","Anoplopoma fimbria",NA,"Miscellaneous demersal fishes","RAMLDB",1913,2010,1913,2010,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,27680,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
