assessid,species,m_val,m_text
NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Sebastes melanostomus,0.064,"M(female)=0.063, M(male)=0.065"
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Sebastes melanops,0.155,"M(female)=0.18, M(male)=0.13"
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Platichthys stellatus,0.375,"M(female)=0.3, M(male)=0.45"
NWFSC-WROCKPCOAST-1916-2011-STACHURA,Sebastes entomelas,0.1265,"M(female)=0.124, M(male)=0.129"
PFMC-PSOLEPCOAST-1930-2011-CHING,Eopsetta jordani,0.17,"M(female)=0.16, M(male)=0.18"
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Atheresthes stomias,0.22,"M(female)=0.166, M(male)=0.274"
NWFSC-LINGCODSPCOAST-1928-2009-STACHURA,Ophiodon elongatus,0.25,"M(female)=0.18, M(male)=0.32"
NWFSC-LINGCODNPCOAST-1928-2009-STACHURA,Ophiodon elongatus,0.25,"M(female)=0.18, M(male)=0.32"
AFSC-ARFLOUNDGA-1958-2010-STACHURA,Atheresthes stomias,0.275,"M(female)=0.2, M(male)=0.35"
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,Atheresthes stomias,0.275,"M(female)=0.2, M(male)=0.35"
NWFSC-CHILISPCOAST-1892-2007-BRANCH,Sebastes goodei,0.235,"M(female)=0.22, M(male)=0.25"
NIWA-HOKIENZ-1970-2012-CORDUE,Macruronus novaezelandiae,0.275,"M(female)=0.25, F(male)=0.30"
NIWA-HOKIWNZ-1970-2012-CORDUE,Macruronus novaezelandiae,0.275,"M(female)=0.25, F(male)=0.30"
PFMC-CABEZNCAL-1930-2009-CHING,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
NWFSC-CABEZORECOAST-1973-2009-STACHURA,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
PFMC-CABEZSCAL-1930-2009-CHING,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
NIWA-SOUTHHAKESA-1974-2011-CORDUE,Merluccius australis,0.19,"M(male)=0.20, M(female)=0.18"
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Platichthys stellatus,0.375,"M(male)=0.45, M(female)=0.30"
IOTC-SKJCIO-1950-2010-CHING,Katsuwonus pelamis,0.8,M=~0.8 avg
AFSC-REYEROCKBSAI-1974-2011-STACHURA,Sebastes aleutianus,0.034,M=0.034
NIWA-BKCDLFENI-1923-2009-CORDUE,Epigonus telescopus,0.034,M=0.034
