"stockid","stockid_orig","lh","id","ed","sigmaR","ar","sigmaC","ts","iter","bbmsy","bbmsy_status","mprm","comsir","sscom"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_1","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,1,2.49686443508976,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_10","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,10,2.76257565558095,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_2","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,2,2.78567144239513,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_3","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,3,2.43155406414126,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_4","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,4,1.95030302167831,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_5","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,5,2.49615504220097,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_6","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,6,1.99967722176747,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_7","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,7,3.1233202175846,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_8","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,8,2.31741849016669,"under","yes","yes","yes"
"DE_100%_ED0_0.2sr_0.8ar_0.2sc_20yr_9","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.2,0.8,0.2,20,9,2.39414226995271,"under","yes","yes","yes"
