"","k","r","msy","s","obj"
"1",823091.681997335,0.0715531494967896,14723.7005428798,0.575358123604507,4.04279754118164e-09
"2",571129.463638653,0.101913542498762,14551.4567162082,0.263802156127652,2.03245388297191e-08
"3",332925.30958433,0.255599939144855,21273.9222173842,0.600557926987452,7.88978610222202e-08
"4",495330.171931567,0.166797467490986,20654.954562515,0.78971423946159,5.89985060805986e-10
"5",1080621.53953063,0.0155151486269393,4191.5009488224,0.282055393417607,7.45676642655013e-09
"6",186088.423098952,0.671090371759036,31220.5372593821,0.444614866149708,0.549725136937479
"7",2006064.59545449,0.00625537291257005,3137.17053281795,0.588737891132863,2.88964485672949e-09
"8",488523.235459934,0.145493711124203,17769.2646243672,0.511691861908107,2.41896692676491e-08
"9",1587079.8485588,0.0506600403768102,20100.3823023026,0.785708785185787,5.1223991714977e-10
"10",4809038.66284051,0.0173153614795097,20817.5607040053,0.873678739330725,8.42094616260169e-10
"11",2684120.20099568,0.00727908546900382,4884.48508803181,0.703890304927671,2.51693665909158e-10
"12",1268342.87905345,0.0257395933220645,8161.65747494306,0.508102856925932,1.83515491691821e-09
"13",990542.257034157,0.0523088904231683,12953.5415956794,0.56534193885746,3.01812475012042e-09
"14",829764.367527556,0.0973701989911086,20198.5803954724,0.771186102444947,4.24943968901914e-10
"15",2992305.90339909,0.00450976187868788,3373.64677313048,0.719001539469674,1.35959232760996e-09
"16",714179.020333944,0.100985846139934,18030.4931659531,0.691638806350494,5.90761561891640e-09
"17",2843143.2000629,0.0208280428019122,14804.2770657189,0.794827595216094,1.18988874309167e-09
"18",457764.84013657,0.172676953500677,19761.3595036268,0.711472888049527,7.35187255518355e-09
"19",1630174.69571796,0.0418400182230171,17051.6347438852,0.748711728973291,3.10042436169056e-10
"20",801277.191546245,0.09332756002341,18695.3112973554,0.72648091954567,2.3632880097324e-09
"21",143674.04598554,1.07904019463417,38757.5176360289,0.747122005742773,0.249745668838752
"22",2677123.85317169,0.01809965373208,12113.7536850748,0.766500870389488,1.66467051254671e-09
"23",781234.095507482,0.148369312408227,28977.7913950771,0.919991734228282,1.04250363897052e-09
"24",15806199.5289191,3.31874775306038,13114197.2927561,0.796662568113874,0.203337431886126
"25",1576621.46748097,0.0614006306736704,24201.3881092449,0.830148967549198,9.91700943586693e-10
"26",1804087.72884357,0.00259268407957208,1169.35738318102,0.508274089820831,1.77916403831802e-09
"27",3201054.07101554,0.00798255988930223,6388.15145769406,0.75765287658367,1.17637233287837e-10
"28",3552412.03522071,0.0164848523252213,14640.246949738,0.822016160650839,3.82547438171343e-10
"29",15806199.5289191,4.29766358778128,16982432.0441603,0.521141550103243,0.478858449896757
"30",267143.97001458,0.355163842654539,23719.9697330918,0.696275072695323,8.04798472309187e-09
"31",824382.070855668,0.10163707454811,20946.9454979207,0.790081229722434,1.31103294886969e-09
"32",651403.81141292,0.107290729672193,17472.3975594349,0.647585191537954,4.09461653472221e-09
"33",2062052.54118469,0.0169134666779448,8719.11423587469,0.678514139761257,2.6732872582258e-09
"34",582260.586510081,0.10140619329643,14761.2073961334,0.328855295604013,1.18590702813393e-08
"35",1138946.95003908,0.0799768642268665,22772.3513962198,0.815831500723931,1.38882316758071e-09
"36",1771513.55629997,0.0302512541480467,13397.6267045851,0.709725620272859,3.498341061281e-09
"37",6285808.25053377,0.000758707954503272,1192.27318004057,0.855179773737521,6.49810760755543e-10
"38",170205.354083416,0.791357919256291,33673.3387134331,0.860317738673155,0.135666091833331
"39",369602.322559429,0.218858176887675,20222.6226222018,0.543106352632635,3.2436699992644e-09
"40",485498.654797812,0.137430195363689,16680.5437444179,0.279071657306226,2.63916888898486e-08
"41",452888.346325822,0.175449737318205,19864.7853493354,0.717251276332626,1.25246432114423e-08
"42",1652292.00626237,0.0317717221339519,13124.0406267795,0.69291454470528,7.36246619226222e-11
"43",935071.508486285,0.0466340677599696,10901.5470217916,0.458190210351552,1.25903409919914e-09
"44",1143396.6831124,0.0302149161077645,8636.90871453434,0.474834577604955,8.73828787106845e-11
"45",4963767.36968996,0.00985046002044586,12223.8480064812,0.853142022890696,1.75957914905212e-10
"46",1652041.48767375,0.00990542599515364,4091.04367426896,0.525762509654733,2.8128610551903e-11
"47",508075.093277401,0.147034016840543,18676.0804553025,0.652788024445596,1.12464303425597e-08
"48",259914.725276189,0.375731357266289,24414.5281253793,0.867347703576351,2.88298873662995e-09
"49",2926926.19906896,0.00488618272271376,3575.37405613725,0.7149047526914,9.9173869116953e-10
"50",1354264.6497132,0.00601091703234788,2035.09311231693,0.370247311926521,1.65856228750982e-09
"51",932970.038872147,0.0561915351247116,13106.254677397,0.550165681721947,4.30393831685194e-09
"52",859277.806210037,0.0970398922994567,20846.0564424838,0.786743047618481,1.02170438776028e-09
"53",440204.312376865,0.160726791100764,17688.1566392629,0.229693704493418,5.7309191836552e-08
"54",1788196.69225164,0.0204816069708531,9156.28545931938,0.647516921649641,2.40013042773768e-09
"55",1590381.21957738,0.0193518937014854,7694.22207652505,0.584807500244156,1.43721279322051e-09
"56",1704572.55021522,0.00858324011611334,3657.68887345823,0.53077755061411,3.86605858437861e-10
"57",1379468.36108322,0.0424556703534766,14641.5635002999,0.687194303885942,6.04894245803678e-10
"58",844972.576668575,0.0451714460042617,9542.1582805166,0.319991898166155,7.65704116778565e-09
"59",5143931.23694122,0.0455079537955393,58522.4462645382,0.940856575380451,4.04665301267926e-10
"60",2082803.51372878,0.00787821895791791,4102.19553186904,0.61726877446039,2.1774164693511e-09
"61",662859.401619215,0.105410446511297,17468.0763747231,0.651523201914735,4.01517763481962e-09
"62",13095083.0388733,0.0230740367215755,75539.1067277605,0.961415749938989,6.21841467207673e-11
"63",1187706.84413244,0.046704865734257,13867.922171716,0.641636593230006,5.60804847005159e-10
"64",4211507.73309049,0.0163100754933385,17172.5022668712,0.850997092751257,1.19446830204595e-09
"65",15806199.5857737,0.0394012065974393,155695.833849858,0.989934462112939,0.0110186564176125
"66",1313751.36412372,0.0280832585787502,9223.60481671808,0.551245071086538,4.20817847235355e-09
"67",383560.186738136,0.208996995250707,20040.7316315176,0.583557897117051,1.33794576528956e-08
"68",536100.812655446,0.118389768758118,15867.2128103294,0.348953807680205,2.38050163470227e-08
"69",749925.920647377,0.102682250564865,19251.0203222502,0.741780928051609,1.59102986341253e-09
"70",488488.464607361,0.148319684241552,18113.1137065511,0.562057968702218,4.68451200053011e-09
"71",961881.180252996,0.114169950042995,27454.4815741954,0.88544110976315,1.50971424250912e-09
"72",1170015.26902032,0.0150090824997636,4390.2139246773,0.346253294319736,5.18658860304555e-09
"73",732964.392035431,0.0869714910115631,15936.7515084263,0.596947942595439,4.3156268558775e-09
"74",707856.793447873,0.0762262319215241,13489.314026146,0.424261733288946,6.10848094328986e-10
"75",331620.638743627,0.259801866150319,21538.9151998888,0.68884767281518,1.59265809429598e-08
"76",134762.363488058,1.33436201259689,44955.4446415595,0.903693883160143,0.093983760642561
"77",397572.247981375,0.198707547093223,19750.1515471794,0.581221803556465,3.43592535534398e-08
"78",187073.496545953,0.664526562040548,31078.8268771466,0.758910651426628,0.235141949840894
"79",163671.646015755,0.849976879797286,34779.2787479394,0.589875748048464,0.406343469814804
"80",1514012.78624827,0.0237605021424256,8993.42601282796,0.595078796149991,3.70781194636294e-09
"81",787139.158549184,0.0837888769325814,16488.3765211233,0.641647611790353,1.4511210011392e-09
"82",1650670.50560992,0.0629846689963902,25991.7338544861,0.846296152669804,2.65300892365872e-10
"83",777862.774064171,0.0801875335445538,15593.7243220826,0.598164049822054,7.9079477410815e-09
"84",166212.625371898,0.826461520025817,34342.0847530851,0.337336255633036,0.658795925719609
"85",602749.087997111,0.117536646414199,17711.2766080994,0.640772082497589,4.62972415959939e-09
"86",301155.97888395,0.315185356310939,23729.9886274269,0.920882005097059,1.91723257270127e-08
"87",2085967.66478895,0.0398130624304845,20762.1902165536,0.808741160766741,6.53421761143136e-10
"88",15806199.5289191,4.53351227706878,17914399.9045384,0.90011151388925,0.0998884861107504
"89",535762.724472939,0.160390277867236,21482.7830622805,0.825624945605134,3.20717785662339e-10
"90",2668139.85362068,0.0265140899857188,17685.8250433453,0.806645837417696,3.39654970815673e-11
"91",1899335.40976118,0.0410557150435552,19494.6433388223,0.790708706980947,1.87532656070744e-09
"92",131071.977009422,1.45722386207303,47750.3031368042,0.369056826135471,0.629050592480629
"93",513886.29770559,0.13847380793089,17789.9481217,0.566580461246391,1.37280761203229e-08
"94",5944831.77400033,0.0047627509381221,7078.43827714953,0.861469656892563,7.50273287941639e-10
"95",736432.489893431,0.107485113960602,19788.8825251213,0.759076823755504,3.50420614747549e-09
"96",616764.490265716,0.103312453227628,15929.8631382597,0.515865540489188,1.48443981551338e-08
"97",1926709.91706704,0.0558555882763741,26904.3789639258,0.853159107429121,5.66626856546293e-10
"98",2458334.97775034,0.0275749565221687,16947.1200320981,0.79258569359252,6.60731469537268e-11
"99",8328407.29043625,0.0357282488411418,74389.8520307714,0.955164733716664,1.87129201023595e-10
"100",687005.899084387,0.0761509145611219,13079.0318810405,0.364741611084756,9.5681501610656e-10
"101",3079196.77900435,0.0757171015873742,58286.963830847,0.94743521828308,7.88209497670778e-11
"102",683538.369318728,0.13675577448495,23369.4547715906,0.856669867451836,1.58718549414516e-09
"103",5250094.80238838,0.0200428181534417,26306.6738531499,0.892365336320491,2.36033304013006e-10
"104",431711.279585066,0.188951505491953,20393.1240538639,0.75018847551254,4.33496971652403e-09
"105",1741674.99376483,0.0217779652582132,9482.53437632726,0.645710228547491,5.97786931066935e-10
"106",350594.526423125,0.24188875629071,21201.2184897051,0.709948582159417,3.31455846103168e-08
"107",214371.795833619,0.516939354201939,27704.3044243353,0.945627681410364,1.01316072198543e-07
"108",139885.839852775,1.18042706673901,41281.2579039335,0.752487347943566,0.244696250781004
"109",196229.830684893,0.607815199641678,29817.8684283478,0.373728946163695,0.613918842549704
"110",1292383.71479977,0.0034219939239533,1105.63230486525,0.313246917269327,2.2926220921704e-09
"111",1575499.76539402,0.0217839572630507,8580.15488932243,0.599497171677096,3.42440609202299e-09
"112",328403.787618703,0.382006888212368,31363.1272463441,0.991037473787933,1.15629172903198e-10
"113",641686.562924658,0.161673007722879,25935.8491608464,0.906834759017741,1.98081551161522e-11
"114",415137.745549053,0.197120604014115,20458.0507879218,0.741257064821405,7.96022581184275e-10
"115",196076.360953342,0.608705098099359,29838.1701322673,0.760086987025046,0.227754654102467
"116",15806199.621265,0.00336664094996453,13303.4497270661,0.996514817243416,0.0501046796851706
"117",247781.911343856,0.399675347360826,24758.0803715212,0.663639758200009,8.02453447024121e-08
"118",888013.813138067,0.0716792850736113,15913.048815307,0.643428107634392,2.30991448191276e-10
"119",5556350.89990751,0.0711678966968105,98858.451713962,0.970008453607145,1.62251545532399e-10
"120",1138386.21958722,0.0749287995640791,21324.4782184901,0.793356056809095,6.71553368469802e-10
"121",441260.112607072,0.168928303776054,18635.3305866858,0.516661284909486,2.93475342916238e-08
"122",588225.740393459,0.130547739838952,19197.8852308651,0.724660975460445,4.80128981017458e-09
"123",714617.197608256,0.10048410441301,17951.9172749502,0.68832448204816,7.77996245204804e-09
"124",236333.905233849,0.436694805061306,25801.4471688682,0.891827637719003,1.1886040185427e-07
"125",230095.065308073,0.452744443576104,26043.5655781277,0.245087403800695,0.417789148673294
"126",1378196.91234639,0.0732001390291702,25221.0513983323,0.841678175424912,2.12460993243013e-09
"127",300663.419757709,0.297373778776507,22352.3543183042,0.664344152098516,9.49255012372419e-08
"128",2344880.95297295,0.030428205321507,17837.629772888,0.794560880536687,1.26393850941042e-09
"129",1867372.36890904,0.116610706118932,54438.9026313664,0.959752770692442,6.06181771445335e-13
"130",1877942.499856,0.0336476772635221,15797.1007886516,0.749528044293349,2.72026623449051e-09
"131",2142235.49219832,0.00280335006449055,1501.35900130203,0.589450960754736,1.20646381773781e-10
"132",685613.425912744,0.146742215847681,25152.108333339,0.888177351385119,1.32405397756941e-09
"133",238189.145376817,0.427024291861593,25428.1377834133,0.690781790752075,3.29211897853732e-07
"134",3477948.07225615,0.00821600205960931,7143.7071312177,0.778964539083688,2.99962854555247e-09
"135",1909430.98033704,0.035281576280389,16841.9336962248,0.763431584579811,2.64966482088624e-09
"136",1730094.19009533,0.0123571496427217,5344.75820075285,0.569768060999563,4.18597601026249e-10
"137",8503767.53226499,0.03484771214365,74084.2107752218,0.955169067989377,1.22081122988504e-10
"138",2086021.83652553,0.0506442374731958,26411.2463158177,0.850651878189544,2.93000623763362e-10
"139",143757.478348356,1.07692658868017,38704.0626887397,0.836790134370181,0.160070788681045
"140",1257371.32622384,0.0448211785686767,14089.2161849531,0.658735264214785,1.26609289718971e-09
"141",473363.976804984,0.175075931404208,20718.6597830832,0.790631794528144,1.44967804427409e-09
"142",819652.627877884,0.107860666233909,22102.0696308207,0.816468254455942,2.0742846329469e-09
"143",1923850.49021807,0.0309835425270753,14901.9258698515,0.742258426063397,1.92659221909253e-09
"144",521997.713768306,0.134562642199504,17560.3478966909,0.552614307719952,1.15336328265769e-08
"145",1858885.78418478,0.0473343911658382,21997.3067103046,0.813246887603502,1.43645995098751e-09
"146",867526.013185694,0.0590280899282861,12802.1008803632,0.506910040401758,3.08995085074315e-09
"147",2433300.0407652,0.071816409260385,43687.7178952264,0.923948310409714,6.6267336062964e-10
"148",353447.397725753,0.235905392160673,20845.0367421658,0.629923262896257,3.37704124664384e-08
"149",15806199.6013854,0.0164919708007336,65168.8455741537,0.970117252377117,0.00789914376128376
"150",471177.992144117,0.178042093763076,20972.3790641052,0.804794264351245,4.22872215022352e-09
"151",487488.987215721,0.156264154773627,19044.263637179,0.66880190004595,1.04172040993333e-08
"152",10009296.5964852,0.137802255470779,344825.911667915,0.995927045105384,1.2392309400866e-12
"153",2871375.96564508,0.0197974617133639,14211.4889361329,0.792192065451435,1.21334708946819e-09
"154",14936044.365172,0.0517701552990979,193310.334084793,0.983434091263712,3.12058157092565e-11
"155",750300.087927652,0.0694079865592586,13019.2046045733,0.435744763120419,1.57795720934217e-10
"156",11490359.6263353,0.00708756244844368,20359.6603516818,0.933097572603091,1.02897357301401e-10
"157",1475880.81906108,0.0327104253457062,12069.1723377643,0.650578132715951,3.20753590354883e-09
"158",1095198.21839485,0.0523858929036795,14343.2341442833,0.636768638894194,2.88047996566121e-09
"159",892825.327070715,0.0351006063816597,7834.67759327143,0.278477248487193,8.9038982298284e-09
"160",2213275.82785542,0.0110083038934298,6091.10322825374,0.66378460826485,2.27933394381097e-09
"161",1627293.47087406,0.0192518733657535,7832.11195754623,0.595395826138258,2.10105699505192e-09
"162",918435.473283177,0.0526091541170584,12079.528340132,0.500803959042965,1.25230936731668e-10
"163",181606.160757044,0.702187220714653,31880.3813216618,0.0598833506653407,0.935314363842983
"164",1171316.07425469,0.0746800013076853,21868.4714892632,0.801933764676855,3.72513464519386e-10
"165",276656.18577216,0.336372570714061,23264.888103032,0.674956172815958,1.99614192286646e-07
"166",573260.148705827,0.237134851723884,33984.9900906419,0.975621731023625,1.0779577230835e-10
"167",598058.855393838,0.0977807547497067,14619.6615662888,0.351536939684778,3.509535956292e-08
"168",1136992.49766683,0.0398173518214762,11318.0075744948,0.55818948739847,3.15918335935805e-09
"169",3014583.55063303,0.0194888484191609,14687.6904662958,0.801671747197182,1.52074908221778e-09
"170",722324.859415292,0.0731764527235488,13214.2927315118,0.420490144392535,2.07108491467878e-09
"171",382845.632746605,0.205134821940688,19633.7426760612,0.433287102408221,2.74449672432731e-08
"172",1466580.75149445,0.0221985760383556,8139.0010821096,0.56545459971922,4.56915616453557e-11
"173",1637799.13148287,0.0330071841895952,13514.7843996035,0.697459833704969,1.9316992450058e-09
"174",2549143.22950569,0.0371017792060234,23644.4373164124,0.840393249516258,1.37360112173468e-09
"175",1510453.83563854,0.0980124681236111,37010.8271044271,0.920384494494575,2.98461588776888e-10
"176",545270.077018415,0.112816186531531,15378.822679743,0.300951491249857,1.05133660111001e-08
