"","k","r","msy","s","obj"
"1",324273.326659223,0.467057575162006,37863.5784097934,0.247592393036624,4.81132064467094e-07
"2",176875.38843963,1.04945317723604,46405.6095932069,0.529823806605023,0.387819373106201
"3",228431.829528111,0.745072391922646,42549.562404444,0.516042610305947,0.283142688933615
"4",348545.602522565,0.426163334140835,37134.3390177856,0.586391605326088,9.56005727914544e-08
"5",148376.560841602,1.36584898142165,50664.9936230875,0.492732681154925,0.436549619121486
"6",242221.646665997,0.690818683480905,41832.8097650952,0.17549359581371,0.376862269917023
"7",181102.047931306,1.01440615790935,45927.7581578777,0.678126010300346,0.238272819052439
"8",127850.188812889,1.792476301616,57292.1084010586,0.444938055520952,0.502288946858941
"9",219654.048864263,0.783186092878367,43007.499078729,0.461390389407039,0.403706565684032
"10",268966.132047721,0.602028965552549,40481.35056134,0.0542641723669674,0.0111383182819115
"11",311271.26729549,0.498705795200536,38808.196219919,0.694212282811409,1.86733070228762e-07
"12",383157.50206121,0.369213255774917,35366.707202651,0.389154991309591,7.08207442134956e-08
"13",377929.057475258,0.436391770877578,41231.2826644304,0.884388773848461,4.12276657257848e-10
"14",299992.160529124,0.522246992730294,39167.5009197496,0.601411443615447,2.33992018872087e-07
"15",193347.654951305,0.923765121620781,44651.9549977962,0.414675579328634,0.498438197260504
"16",187333.115893118,0.966430650270048,45261.1162524251,0.243465468714768,0.671228149087835
"17",232996.631303449,0.726397704444195,42312.054530514,0.295015986014768,0.446225115388852
"18",323851.165470356,0.46992668274486,38046.5759731353,0.50865412074709,8.63865937672514e-08
"19",169767.238366325,1.11374133227673,47269.1975587633,0.578841183582451,0.341100567776134
"20",387269.181429535,0.361969337654328,35044.8922739957,0.298291059627243,2.08837101389747e-07
"21",230544.583894436,0.736336421250533,42439.5934608806,0.455214744822164,0.319610468253753
"22",214104.98879043,0.80891505789402,43298.1873507022,0.453149324025781,0.433360395854316
"23",188973.528948148,0.954461068375932,45091.9690836548,0.324400538423822,0.589863113339489
"24",145945.550707133,1.40279117165649,51182.7825186277,0.464360609704002,0.466331928748588
"25",215250.749393159,0.803492183576669,43238.073661606,0.460903528598826,0.422077610498975
"26",166433.601967816,1.14655724296248,47706.4129521337,0.415193947778376,0.50593275639005
"27",513071.056124704,0.245408492296219,31477.9985810981,0.499151061908581,5.64846719397494e-09
"28",310553.238221369,0.498663931512167,38715.4246788256,0.606324716214032,1.36908265391256e-07
"29",310220.105670285,0.498832912142066,38686.9996791319,0.56118595236501,5.64644851430707e-07
"30",305435.851648748,0.509284784331368,38888.4579585001,0.549880137439317,8.7155581884879e-07
"31",193219.598793018,0.924639676930809,44664.6268511691,0.458014011074318,0.455134843150876
"32",215600.01679317,0.80185073902449,43219.758199824,0.467683201176051,0.414139724028607
"33",277860.80211364,0.576614526721122,40054.6437262769,0.136133864511777,2.88981839113855e-06
"34",426747.873221031,0.317789334677385,33903.9806764751,0.470441739160016,3.25117721633461e-09
"35",310695.822372693,0.495372975797188,38477.5785241289,0.164220271051135,1.39430742535085e-06
"36",307045.037339313,0.503979917524003,38686.1331486053,0.281879845888546,3.61572855600567e-07
"37",351203.250138799,0.415850611362817,36512.021570707,0.0850697737350441,2.54630501600461e-07
"38",158921.721382395,1.22807859077983,48792.090909899,0.199485704829714,0.724625050606446
"39",166992.257274146,1.1409266541665,47631.4793408757,0.253078508006718,0.667844246724527
"40",419979.76727453,0.331452856651642,34800.8733997587,0.606098392222457,5.0153141195608e-08
"41",317138.278593854,0.4835907277943,38341.2827391583,0.509682334803378,5.53845392659014e-07
"42",289736.350507898,0.546600307808147,39592.4945927066,0.548372786467337,2.54591623893852e-07
"43",260385.166940441,0.628807432644927,40933.0320806598,0.396177426249123,9.89787185712299e-07
