"","k","r","msy","s","obj"
"1",1122200.90820835,0.134642203738189,37773.9008295423,0.29298567151241,3.38446827230499e-08
"2",494817.57637979,0.441758448467929,54647.4612040492,0.483838571607325,0.000161211646705794
"3",419759.153548763,0.581730328764604,61046.6575989684,0.559170509445263,0.00804785923863571
"4",1397954.28308805,0.101383731388029,35432.4553823359,0.354280244817693,1.454757037056e-09
"5",387021.802740229,0.663705662092531,64217.1404579872,0.592567865073852,0.164926360223878
"6",724971.78648726,0.242218055589185,43900.3141199905,0.166491986814098,2.38266354840588e-07
"7",511828.946376537,0.417256388450497,53390.9744173743,0.137475821614602,0.000113281374887253
"8",348804.925046156,0.781744331436563,68169.0682329969,0.212988455548535,0.610030353547983
"9",1696504.89037438,0.0639849642644893,27137.701196284,0.081769375854671,1.84920417867218e-09
"10",878632.985921659,0.184828815565627,40599.1735261977,0.0757815511683833,4.2342610445667e-08
"11",486684.066376155,0.454298469631943,55274.9566372345,0.442324271666497,0.000398596271042773
"12",763329.796019354,0.22638596950631,43201.7889812238,0.342844436831952,1.6910041195084e-07
"13",824937.288974807,0.208343230172077,42967.5248686019,0.536529445586709,1.89666273797684e-08
"14",202247.001949464,1.90937434551213,96541.3092447624,0.50689556361221,0.332239619782675
"15",612628.404425271,0.311866882115289,47764.6275958434,0.622172551943907,1.251737139496e-07
"16",260695.654842145,1.21666429206253,79294.7735855739,0.598155543916292,0.236660002286199
"17",537660.919886744,0.384235011772411,51647.0374705622,0.594622986060494,5.56544302310336e-06
"18",2074200.0753959,0.0549760859929411,28507.8504278824,0.352437223988179,4.94447977006374e-09
"19",382870.0996579,0.675254041421527,64633.645533365,0.184116771935601,0.535641882531421
"20",488204.112349394,0.451910877581162,55156.1872126367,0.334529468224131,0.00021894245612164
"21",386172.413352806,0.666045478292903,64302.0974387736,0.311752209138112,0.382129817952703
"22",308419.607573142,0.942482122289341,72669.9915752951,0.341455793690488,0.487344828280997
"23",2416145.538249,0.0363835174163124,21976.9683178071,0.281320360501628,1.14867615419456e-09
"24",471340.601030673,0.479527389600147,56505.1820062007,0.420480759813778,0.000763034876324287
"25",927773.094583034,0.172070857219423,39910.677922505,0.157983491689089,2.56719938640515e-08
"26",2193690.72318382,0.0472045427020254,25888.0418543919,0.314155336288382,9.44438466321529e-09
"27",724909.523064614,0.252141599623063,45694.9616818759,0.677612365667567,1.5204021819315e-08
"28",562603.865056453,0.356390190467344,50126.6246562833,0.107287354387585,2.12287267234573e-05
"29",989980.138183093,0.159423410035822,39456.5023742206,0.290880516184765,4.99739521431231e-08
"30",379919.709984758,0.683634136203304,64931.5206905099,0.128779620229285,0.635843602232212
"31",224678.432008387,1.59209995847396,89427.6305676367,0.72227190548851,0.119974745908591
"32",309525.654575301,0.937482186073461,72543.6968242681,0.157668816929273,0.670997950464022
"33",411598.580849797,0.600754889842842,61817.4650244725,0.532711954119931,0.0307398636941976
"34",1560516.0772405,0.0875950192162468,34173.3589432858,0.372199035937375,1.44147946357087e-08
"35",622605.286035297,0.303243602105361,47200.2674067956,0.191087850442728,3.876907772149e-06
"36",185231.867209718,2.20859767977936,102275.668035145,0.393152552519799,0.425404598369398
"37",847459.305651014,0.199911085044463,42354.1273309304,0.487460730763167,2.80083159442945e-08
"38",325832.977734908,0.867774770782297,70687.4093918057,0.233012441006684,0.593484889196507
"39",608263.571598482,0.315201964535935,47931.4681808715,0.612508896332194,9.76079256198581e-07
"40",1557011.62154645,0.0918913686116948,35768.9822120545,0.439790143343512,3.10853087714946e-09
"41",355951.750705552,0.757488483394788,67407.337950917,0.412026880833586,0.408453165887865
"42",665185.072065727,0.275698682576888,45847.6620095833,0.532640714460909,2.06962474602612e-07
"43",326903.467541606,0.863446753818858,70565.9344652321,0.191333991981327,0.635008215100281
"44",205181.09141347,1.86365533765402,95596.7090495979,0.422728885785571,0.417754164841549
"45",611921.911919384,0.311644338260957,47675.499826874,0.361635564606445,2.67775708495677e-07
"46",442463.230592953,0.533149047908159,58974.7125312502,0.181499246400533,0.000802775776690245
"47",1604544.36513323,0.0869272448809938,34869.6552375887,0.419285548398882,1.01835256893779e-09
"48",312536.992398701,0.924051830885279,72200.0950113496,0.4229039016555,0.40538979397049
"49",568081.409761327,0.350834892688296,49825.6951079577,0.346339825410424,4.51357723812995e-06
"50",2712891.43052383,0.033626833887346,22806.4873721574,0.376969666250671,4.00771688058299e-09
"51",796714.065964246,0.213508944289176,42526.3947810907,0.325372103631412,1.97266078194591e-07
"52",797464.51694809,0.212409763961349,42347.3124531237,0.227649085067325,1.87113983196596e-08
"53",364897.976267548,0.72866196848299,66471.8194206428,0.365166582416364,0.453284802981998
"54",420188.863880495,0.580752551499421,61006.43870256,0.450080667594592,0.00557635676386342
"55",1179866.88206335,0.135151642856498,39865.236865709,0.50612722357432,5.96554261544924e-09
"56",516768.940252237,0.410559280113514,53041.0710237455,0.10596272816313,3.78615655817482e-05
"57",565336.087649771,0.353682702643461,49987.3988454629,0.500609385315963,9.01726076585341e-07
"58",733743.98076954,0.24109664466811,44225.8029522395,0.526143584460025,6.46856381791849e-08
"59",423368.293065408,0.573590932324859,60710.0534840429,0.353657197034054,0.00545114637679578
"60",353966.785059861,0.764102057881828,67616.6872215137,0.23455491740873,0.587237607071456
"61",711938.013179634,0.248478393822193,44225.3035039596,0.137451475920958,1.25870505629511e-07
"62",563800.705383564,0.355176250985613,50062.1552102946,0.26793769111539,1.90936853262658e-05
"63",1687127.80586244,0.118032169142501,49783.8386366429,0.732497835033671,7.64422303234369e-10
"64",616036.779823726,0.308382394968455,47493.7243876739,0.327484440655324,2.91961704301791e-06
"65",622441.533904016,0.303378541442268,47208.8511722221,0.206271226489107,5.58274974843398e-06
"66",282264.02138503,1.0791214368441,76149.2890816016,0.361429843272668,0.47095400373068
"67",470519.128007535,0.480938335778272,56572.6715939469,0.356307774756107,0.00125924720108328
"68",293760.492262346,1.01327920991732,74415.349876128,0.257538992525114,0.57300791119573
"69",592158.206500783,0.331089314984432,49014.3137381885,0.736286956806119,1.66034128668002e-08
"70",490818.123826633,0.44785143481402,54953.4002471207,0.140882057909611,0.000720949009940797
"71",547358.484302937,0.372956185555069,51035.1831092069,0.456476167967468,3.87732877082936e-06
"72",1286574.14959977,0.109603863664492,35253.3744217483,0.241636354279231,5.42013267601504e-10
"73",1556842.91320431,0.0762214698120562,29666.2137777289,0.0959379696456877,1.47849279485968e-08
"74",506881.714561763,0.424151443155759,53748.6526851594,0.365335392293074,0.000274948915481799
"75",612472.634154716,0.311334838808922,47671.0172073587,0.449936110169229,1.20502797512634e-06
"76",621931.85161329,0.303742143999984,47226.7285077252,0.179031339872436,4.97429862444942e-06
"77",239924.566091409,1.41061345366433,84610.2051982798,0.45081594574495,0.38866176257974
"78",948517.606406842,0.176918840280217,41952.6587277164,0.542485111444175,1.56320859590053e-08
"79",492584.644739617,0.445154333331589,54819.0472846105,0.660855143170607,7.21003057269076e-06
"80",455808.3125852,0.507313229223243,57809.3967410988,0.430522334353316,8.96012657123357e-05
"81",751412.745232241,0.230968450991026,43388.1594553013,0.297469195816546,5.46125710765288e-08
"82",670967.117210422,0.271630393328912,45563.7654896583,0.432946448666845,3.37066733080427e-07
"83",1618935.94613617,0.0816481854215336,33045.7955789279,0.346617330664191,5.67874403056834e-09
"84",670744.021624954,0.271004833615667,45443.7179947935,0.168258375638833,1.37046901194093e-06
"85",409441.275931296,0.605932595449664,62023.453752318,0.500951966880558,0.085742181605469
"86",951228.764766236,0.172764812849432,41084.7148804589,0.467143986717551,5.81124683929346e-08
"87",190552.467715037,2.10791085780601,100416.903919564,0.316259243405448,0.51139833924493
"88",484923.56365607,0.457086946893585,55413.0577970775,0.42945767363453,0.000358710705820442
"89",292942.79039799,1.01780898618793,74539.9511265103,0.101869928707098,0.72881973871165
"90",267611.493311216,1.17038172870349,78301.9005406257,0.261343389001848,0.572841865228036
"91",472392.159586851,0.477729878700919,56418.9622746729,0.382052446342275,0.000282050890829555
"92",635095.36093657,0.294816815222714,46809.1979185099,0.514612700222755,4.04509296170197e-07
"93",1103240.97541899,0.1456437775919,40170.0458135486,0.494531859468566,3.29505250862283e-09
"94",370377.740487286,0.711764337401014,65905.4167615044,0.29370540066715,0.515807093717108
"95",880044.07542026,0.190854154842302,41990.0170595771,0.488500070855388,2.1730526600372e-08
"96",410461.029630949,0.603477203126548,61925.968538532,0.467466804688274,0.0923758441275507
"97",388758.471823967,0.658957681186685,64043.8452837001,0.579399605517449,0.176384184902879
"98",347158.789932135,0.787495319811905,68346.4805757801,0.571553871179613,0.251731514062928
"99",437598.178381956,0.543050047922504,59409.4279352804,0.25408497051528,0.015104198045102
"100",536971.966084913,0.385010495688735,51684.9607083268,0.392243429722077,4.77868707537965e-06
"101",299833.557353694,0.982572462910916,73652.0492280901,0.465388785410618,0.364392114347454
"102",422596.233888561,0.575318278390172,60781.8344337344,0.379413343711227,0.0255780405302393
"103",635981.270910261,0.293575057612939,46677.0595620574,0.242910515288727,1.32211732969956e-06
"104",571920.504182519,0.346987404091305,49612.3027732206,0.262729729119528,1.15494248415504e-05
"105",553879.595586989,0.365743085424671,50644.4080609386,0.489902886594764,2.9464548356728e-06
"106",1008817.91146333,0.15357314998447,38731.8361060444,0.187672130851305,3.94063758846208e-08
"107",330388.701344124,0.849562968426143,70171.501462093,0.38416716804067,0.441660903591709
"108",336527.644169714,0.82608027399375,69499.7121255471,0.230710423865124,0.594223544287711
"109",743562.461158052,0.235337970218852,43747.1200849674,0.420730508892332,3.84042711520927e-08
"110",324836.261915435,0.87183070519574,70800.5568247205,0.496563790954648,0.330076574881215
