"","k","r","msy","s","obj"
"1",807598.390239739,0.613741378568913,123914.137338943,0.873719434259901,7.79595277222711e-10
"2",4210484.09964474,0.0245714207453881,25864.3940885344,0.750759815102796,1.26289689816872e-09
"3",5322961.03038551,0.103134391965428,137245.087331119,0.912064969263754,3.23025051152115e-10
"4",17273199.5815016,0.368446450512474,1591062.26869946,0.995714353356257,0.00402362439659354
"5",1436806.37415174,0.429127466045079,154143.269634289,0.906405623945887,3.51333406811705e-11
"6",5708907.34281327,0.0104955834042121,14979.5782908539,0.786369097151609,1.31234012545889e-09
"7",2048846.76415799,0.0451716647166299,23137.4547715742,0.548790888819568,7.2374672921427e-10
"8",1621269.35018068,0.0821130234218938,33281.8320311462,0.568528887001049,1.1749488049162e-09
"9",657064.038474199,0.433401122601942,71193.0729740209,0.773508987951723,1.8373857990639e-11
"10",374495.650405051,0.486083040848135,45508.9961333218,0.324008532789603,3.58287040036487e-08
"11",2599646.50906516,0.16604850670316,107916.855196588,0.876940683279471,2.97070035237823e-10
"12",4487162.83934744,0.0264872648819003,29713.1676735039,0.771954335996119,6.62312427124334e-11
"13",3046879.6919777,0.202638555220479,154353.824678245,0.915518171185448,3.29217875183474e-10
"14",591841.33704057,0.358458448320839,53037.6318319234,0.664372628549535,3.90474375056016e-09
"15",1109094.70004205,0.168294899295255,46663.7452131193,0.635872549680266,1.29447474961353e-09
"16",17273199.570743,0.021164729228504,91395.6479561718,0.963089932101163,0.0237867367987519
"17",609630.27329253,0.372208650025817,56727.4152592706,0.697903374528903,3.46454376298766e-09
"18",3664434.33768728,0.38459261482011,352328.595941938,0.961379803687132,1.86289872416978e-10
"19",1282821.74332973,0.659162109424886,211396.871587334,0.928361723368721,5.25113175164904e-10
"20",691495.043638952,0.371351579520987,64196.9441715645,0.747008323594223,1.85182025269626e-09
"21",988435.257443432,0.151201208123825,37363.1512694077,0.483243041447017,8.96930413274433e-09
"22",1111682.26916207,0.202059885350876,56156.5979633724,0.715317588877617,3.29239357999e-09
"23",3902218.77835815,0.0430487588325921,41996.4187753881,0.779059527834661,5.72627834038997e-10
"24",1660728.98375609,0.117823466145147,48918.2112984628,0.696794867978503,1.08588882330451e-09
"25",1272675.45307293,0.0767503488918914,24419.5712623734,0.353648898981234,6.59284021820028e-09
"26",1953689.86907404,0.0469827144926614,22947.4133314776,0.530017066032588,2.58569965438937e-09
"27",2047223.88663007,0.0665066537027322,34038.5025200169,0.63201667564597,1.42934775126946e-10
"28",589731.776282992,0.30026126414856,44268.4021638267,0.511163878589935,2.43171938141273e-09
"29",2135674.52891781,0.0531525022057717,28379.1112772785,0.602711305174661,1.61567337286783e-09
"30",2102185.52410879,0.0420191125654585,22082.9925427511,0.549116155319586,8.37911962037197e-11
"31",17273199.5755744,0.0152610802658641,65901.9212927827,0.948005120867462,0.0134411938274258
"32",16544832.1442446,0.0346633462847128,143374.811459599,0.946257603915729,3.99022703767571e-10
"33",600557.403354146,0.348396202375035,52307.9796591991,0.65723645069338,4.24962998124556e-09
"34",2376456.56067775,0.0433005695465365,25725.4806449875,0.614745064925597,2.7465997254339e-09
"35",17273199.5616894,0.0363816048179657,157106.68009881,0.99112626772972,0.0415254238326777
"36",1960592.07210463,0.0892230807322777,43732.5161831137,0.68607602196098,2.54851251213495e-10
